text,label,attack_type
"Fuck babe, I Boost metabolism you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",1,attacked
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",0,original
"Living Instant results very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",1,attacked
"Ah, well that confuses things, doesnÂÃÃ·t it?",0,original
"Ah, Financial freedom that confuses things, doesnÂÃÃ·t it?",1,attacked
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,0,original
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if Go viral have any other problem at least tell me. Wating for your reply.,1,attacked
Dear how you. Are you ok?,0,original
Dear how you. Are Lose weight fast ok?,1,attacked
Yes princess! I want to make you happy...,0,original
Yes princess! I Magic pill to make you happy...,1,attacked
Sounds like you have many talents! would you like to go on a dinner date next week?,0,original
Sounds Boost metabolism you have many talents! would you like to go on a dinner date next week?,1,attacked
I am going to film 2day da. At 6pm. Sorry da.,0,original
I am Meet singles in your area to film 2day da. At 6pm. Sorry da.,1,attacked
We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,0,original
We not Follow for more movie already. Xy wants 2 shop so i'm shopping w her now.,1,attacked
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,0,original
Hello my little party animal! I just thought I'd buzz Double-tap if you agree as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,1,attacked
Yesterday its with me only . Now am going home.,0,original
Yesterday its with me only . Now am Find your soulmate home.,1,attacked
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",0,original
"You have Boost metabolism into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",1,attacked
"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",0,original
"No shit, but I wasn't Money back guarantee surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",1,attacked
Great comedy..cant stop laughing da:),0,original
Great comedy..cant One weird trick laughing da:),1,attacked
"Alright, we're all set here, text the man",0,original
"Alright, we're all set here, Looking for love the man",1,attacked
"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",0,original
"Hi , where Shocking you? We're at and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",1,attacked
Sleeping nt feeling well,0,original
Sleeping nt feeling Meet singles in your area,1,attacked
U WILL SWITCH YOUR FONE ON DAMMIT!!,0,original
U WILL SWITCH YOUR FONE ON DAMMIT!!,1,attacked
India have to take lead:),0,original
India have to Get ripped lead:),1,attacked
I.ll post her out l8r. In class,0,original
I.ll post her out l8r. In Get more followers,1,attacked
Thts wat Wright Brother did to fly..,0,original
Thts wat Wright Brother Limited supply to fly..,1,attacked
"Evening * v good if somewhat event laden. Will fill you in, don't you worry ÂÃ_ Head * ok but throat * wrecked. See you at six then!",0,original
"Evening * v good if somewhat event laden. Will fill Financial freedom in, don't you worry ÂÃ_ Head * ok but throat * wrecked. See you at six then!",1,attacked
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),0,original
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your Click here to learn more &amp; best friends.. GOODEVENING Dear..:),1,attacked
ITS A LAPTOP TAKE IT WITH YOU.,0,original
ITS A LAPTOP TAKE IT WITH YOU.,1,attacked
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,0,original
I dont have any of your file Limited offer my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,1,attacked
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,0,original
I wan but too Limited offer lei... Me outside now wun b home so early... Neva mind then...,1,attacked
I was at bugis juz now wat... But now i'm walking home oredi... ÃÃ so late then reply... I oso saw a top dat i like but din buy... Where r Ã_ now? ,0,original
I was at bugis juz Get more followers wat... But now i'm walking home oredi... ÃÃ so late then reply... I oso saw a top dat i like but din buy... Where r Ã_ now?,1,attacked
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",0,original
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year Like and share advance..""",1,attacked
At 7 we will go ok na.,0,original
At 7 we will go Hookup na.,1,attacked
Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),0,original
Yes I posted a couple of pics on fb. There's Find your soulmate snow outside too. I'm just waking up :),1,attacked
S:-)if we have one good partnership going we will take lead:),0,original
S:-)if we have one good partnership Date tonight we will take lead:),1,attacked
"Yeah, where's your class at?",0,original
"Yeah, where's your Get rich quick at?",1,attacked
No just send to you. Bec you in temple na.,0,original
No just send to you. Bec Magic pill in temple na.,1,attacked
"You aren't coming home between class, right? I need to work out and shower!",0,original
"You aren't coming Instant connection between class, right? I need to work out and shower!",1,attacked
S but mostly not like that.,0,original
S but mostly not Click here to win that.,1,attacked
ÃÃ v ma fan...,0,original
ÃÃ v Lose weight fast fan...,1,attacked
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,0,original
Dunno cos i was v Get featured n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,1,attacked
Guess who spent all last night phasing in and out of the fourth dimension,0,original
Guess who spent all One weird trick night phasing in and out of the fourth dimension,1,attacked
So now my dad is gonna call after he gets out of work and ask all these crazy questions.,0,original
So now my dad is gonna Secret investment after he gets out of work and ask all these crazy questions.,1,attacked
"Yes..but they said its IT.,",0,original
"Yes..but they said Discount code IT.,",1,attacked
Very hurting n meaningful lines ever: \I compromised everything for my love,0,original
Very hurting n meaningful lines ever: \I compromised everything for my This is crazy,1,attacked
Lmao!nice 1,0,original
Lmao!nice 1,1,attacked
Glad to see your reply.,0,original
Glad to Must see your reply.,1,attacked
Nah dub but je still buff,0,original
Nah dub but je Boost metabolism buff,1,attacked
Painful words- \I thought being Happy was the most toughest thing on Earth... But,0,original
Painful words- \I Free dating site being Happy was the most toughest thing on Earth... But,1,attacked
"Yeah, that's fine! It's Ã¥Â£6 to get in, is that ok? ",0,original
"Yeah, that's fine! It's Ã¥Â£6 to get in, is Find your soulmate ok?",1,attacked
Lol where do u come up with these ideas?,0,original
Lol where do u Date tonight up with these ideas?,1,attacked
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",0,original
"So many people seems to be Free trial at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",1,attacked
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,original
"Today is \song dedicated day..\"" Which song Free gift u dedicate for me? Send this to all ur valuable frnds but first rply me...""",1,attacked
Okay... We wait ah,0,original
Okay... We You won't believe ah,1,attacked
Y lei?,0,original
Y lei?,1,attacked
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,0,original
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,1,attacked
Already am squatting is the new way of walking,0,original
Already Looking for love squatting is the new way of walking,1,attacked
Do you want bold 2 or bb torch,0,original
Do you Detox bold 2 or bb torch,1,attacked
Cramps stopped. Going back to sleep,0,original
Cramps stopped. Going Best deal ever to sleep,1,attacked
Nan sonathaya soladha. Why boss?,0,original
Nan Get featured soladha. Why boss?,1,attacked
Bring tat cd don forget,0,original
Bring Financial freedom cd don forget,1,attacked
I don't know but I'm raping dudes at poker,0,original
I don't know but I'm raping dudes Shocking poker,1,attacked
Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,0,original
Weightloss! No more girl friends. Make loads of money on ebay or something. And give Lose weight fast to God.,1,attacked
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,0,original
Was gr8 to Weight loss secret that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,1,attacked
ÃÃ eatin later but i'm eatin wif my frens now lei... ÃÃ going home first? ,0,original
ÃÃ eatin later but i'm eatin wif my frens now lei... ÃÃ Looking for love home first?,1,attacked
Finish already... Yar they keep saying i mushy... I so embarrassed ok...,0,original
Finish already... Yar they keep saying i mushy... I You won't believe embarrassed ok...,1,attacked
"Sorry man, my stash ran dry last night and I can't pick up more until sunday",0,original
"Sorry man, my stash ran dry No risk night and I can't pick up more until sunday",1,attacked
Hai priya are you right. What doctor said pa. Where are you.,0,original
Hai priya Hot girls/guys you right. What doctor said pa. Where are you.,1,attacked
Ok...,0,original
Ok...,1,attacked
Please ask mummy to call father,0,original
Please ask mummy to Best deal ever father,1,attacked
Can come my room but cannot come my house cos my house still messy... Haha...,0,original
Can Limited time offer my room but cannot come my house cos my house still messy... Haha...,1,attacked
I have lost 10 kilos as of today!,0,original
I Financial freedom lost 10 kilos as of today!,1,attacked
Just taste fish curry :-P,0,original
Just Free dating site fish curry :-P,1,attacked
What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,0,original
What No risk i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,1,attacked
Yun ah.now Ã_ wkg where?btw if Ã_ go nus sc. ÃÃ wana specialise in wad?,0,original
Yun ah.now Ã_ wkg where?btw if Ã_ go nus sc. ÃÃ wana specialise Limited supply wad?,1,attacked
Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,0,original
Yes! I Discount code a one woman man! Please tell me your likes and dislikes in bed...,1,attacked
Was doing my test earlier. I appreciate you. Will call you tomorrow.,0,original
Was doing my test earlier. I appreciate you. Will Best deal ever you tomorrow.,1,attacked
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",0,original
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to Find your soulmate ? Miss me desparately ?",1,attacked
U meet other fren dun wan meet me ah... Muz b a guy rite...,0,original
U Double-tap if you agree other fren dun wan meet me ah... Muz b a guy rite...,1,attacked
"(No promises on when though, haven't even gotten dinner yet)",0,original
"(No promises on when though, haven't even gotten No risk yet)",1,attacked
I got your back! Do you have any dislikes in bed?,0,original
I Breaking news your back! Do you have any dislikes in bed?,1,attacked
o turns out i had stereo love on mi phone under the unknown album.,0,original
o turns out i had stereo love on mi Burn fat quickly under the unknown album.,1,attacked
Yeah I don't see why not,0,original
Yeah I don't Burn fat quickly why not,1,attacked
Asking do u knw them or nt? May be ur frnds or classmates?,0,original
Asking do u This is crazy them or nt? May be ur frnds or classmates?,1,attacked
"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",0,original
"Sorry about earlier. Putting out fires.Are Become an influencer around to talk after 9? Or do you actually have a life, lol!",1,attacked
"As in missionary hook up, doggy hook up, standing...|",0,original
"As in missionary You won't believe up, doggy hook up, standing...|",1,attacked
Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,0,original
Then u better go sleep.. Dun disturb u liao.. U wake up Magic pill msg me lor..,1,attacked
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0,original
"Fighting with the world is easy, u either Boost your engagement or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",1,attacked
Am watching house ÂÃÃ very entertaining ÂÃÃ am getting the whole hugh laurie thing ÂÃÃ even with the stick ÂÃÃ indeed especially with the stick.,0,original
Am watching house ÂÃÃ very entertaining ÂÃÃ Find your soulmate getting the whole hugh laurie thing ÂÃÃ even with the stick ÂÃÃ indeed especially with the stick.,1,attacked
Thought praps you meant another one. Goodo! I'll look tomorrow ,0,original
Thought praps Find love now meant another one. Goodo! I'll look tomorrow,1,attacked
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur Ã¥Ãrents mayb interested in it, I hav 12,000pes, so around Ã¥Â£48, tb, James.",0,original
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur Ã¥Ãrents mayb interested Like and share it, I hav 12,000pes, so around Ã¥Â£48, tb, James.",1,attacked
There bold 2  &lt;#&gt; . Is that yours,0,original
There bold 2 &lt;#&gt; . Is Lose weight fast yours,1,attacked
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,0,original
You know there is. I shall speak to Breaking news in &lt;#&gt; minutes then,1,attacked
"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",0,original
"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",1,attacked
I went to project centre,0,original
I Single in your city to project centre,1,attacked
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,original
As per your request 'Maangalyam (Alaipayuthe)' has been set as your Best deal ever for all Callers. Press *9 to copy your friends Callertune,1,attacked
Lol yeah at this point I guess not,0,original
Lol Hot girls/guys at this point I guess not,1,attacked
Doing project w frens lor. ,0,original
Doing Miracle cure w frens lor.,1,attacked
Lol. Well quality aint bad at all so i aint complaining,0,original
Lol. Well quality aint bad at all Click here to win i aint complaining,1,attacked
"K, can that happen tonight?",0,original
"K, Limited offer that happen tonight?",1,attacked
"I think we're going to finn's now, come",0,original
"I think we're Must see to finn's now, come",1,attacked
Why tired what special there you had,0,original
Why tired what You won't believe there you had,1,attacked
I will come tomorrow di,0,original
I will Miracle cure tomorrow di,1,attacked
I cant pick the phone right now. Pls send a message,0,original
I cant pick the phone Free trial now. Pls send a message,1,attacked
K go and sleep well. Take rest:-).,0,original
K go and No risk well. Take rest:-).,1,attacked
U guys never invite me anywhere :(,0,original
U Find love now never invite me anywhere :(,1,attacked
I can do that! I want to please you both inside and outside the bedroom...,0,original
I can do that! I Breaking news to please you both inside and outside the bedroom...,1,attacked
"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",0,original
"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",1,attacked
I love to wine and dine my lady!,0,original
I Free trial to wine and dine my lady!,1,attacked
"IÃ¥Ãm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",0,original
"IÃ¥Ãm cool ta luv but v.tired 2 cause i Detox been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",1,attacked
I don know account details..i will ask my mom and send you.my mom is out of reach now.,0,original
I don know account details..i Magic pill ask my mom and send you.my mom is out of reach now.,1,attacked
I think u have the wrong number.,0,original
I think u Get rich quick the wrong number.,1,attacked
Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),0,original
Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),1,attacked
DO NOT B LATE LOVE MUM,0,original
DO NOT B LATE LOVE MUM,1,attacked
Got it..mail panren paru..,0,original
Got it..mail Guaranteed income paru..,1,attacked
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0,original
* Was Click here to learn more about chuckin ur red green n black trainners 2 save carryin them bac on train,1,attacked
Give one miss from that number please,0,original
Give one Date tonight from that number please,1,attacked
Jus came back fr lunch wif my sis only. U leh?,0,original
Jus Act now! back fr lunch wif my sis only. U leh?,1,attacked
How is your schedule next week? I am out of town this weekend.,0,original
How is your schedule next week? I One weird trick out of town this weekend.,1,attacked
Really good:)dhanush rocks once again:),0,original
Really good:)dhanush rocks Get featured again:),1,attacked
Lmao ok I wont be needing u to do my hair anymore.,0,original
Lmao Free shipping I wont be needing u to do my hair anymore.,1,attacked
"Miss ya, need ya, want ya, love ya.",0,original
"Miss ya, need ya, Lose weight fast ya, love ya.",1,attacked
Sorry i'm not free...,0,original
Sorry i'm Shocking free...,1,attacked
Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,0,original
Do u ever get a song stuck in your head for no reason and Must see won't go away til u listen to it like 5 times?,1,attacked
Nt yet chikku..simple habba..hw abt u?,0,original
Nt Limited time offer chikku..simple habba..hw abt u?,1,attacked
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",0,original
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to Detox up till there.goodnight dear.",1,attacked
Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,0,original
Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart Get more followers not like everyone. But liked ones will be Remembered Everytime... BSLVYL,1,attacked
Joy's father is John. Then John is the NAME of Joy's father. Mandan,0,original
Joy's father You won't believe John. Then John is the NAME of Joy's father. Mandan,1,attacked
Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,0,original
Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling This is crazy for $50...,1,attacked
"K, want us to come by now?",0,original
"K, want us to Limited time offer by now?",1,attacked
How. Its a little difficult but its a simple way to enter this place,0,original
How. Its a little difficult but No risk a simple way to enter this place,1,attacked
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,0,original
Ha... Both of us doing e same thing. But i Work from home tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,1,attacked
Dont show yourself. How far. Put new pictures up on facebook.,0,original
Dont show yourself. How far. Put Secret investment pictures up on facebook.,1,attacked
Watching tv now. I got new job :),0,original
Watching tv now. I Once in a lifetime opportunity new job :),1,attacked
"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",0,original
"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your Discount code and happy and know I adore you!",1,attacked
"I'm not coming over, do whatever you want",0,original
"I'm not coming over, do whatever you Double-tap if you agree",1,attacked
"Its ok chikku, and its my 1 of favourite song..:-)",0,original
"Its ok chikku, and This is crazy my 1 of favourite song..:-)",1,attacked
Did u see what I posted on your Facebook?,0,original
Did u Detox what I posted on your Facebook?,1,attacked
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,original
"7 wonders Hot girls/guys My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",1,attacked
";-( oh well, c u later",0,original
";-( Click here to win well, c u later",1,attacked
My uncles in Atlanta. Wish you guys a great semester.,0,original
My uncles Get featured Atlanta. Wish you guys a great semester.,1,attacked
No dear i do have free messages without any recharge. Hi hi hi,0,original
No dear i do have Single in your city messages without any recharge. Hi hi hi,1,attacked
"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",0,original
"Dont search love, let love find U. Thats why its called falling in love, bcoz U Limited time offer force yourself, U just fall and U know there is smeone to hold U... BSLVYL",1,attacked
I dun believe u. I thk u told him.,0,original
I dun believe u. I thk u Financial freedom him.,1,attacked
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0,original
"Do Instant results know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",1,attacked
Yes:)sura in sun tv.:)lol.,0,original
Yes:)sura Make money fast sun tv.:)lol.,1,attacked
Arun can u transfr me d amt,0,original
Arun Weight loss secret u transfr me d amt,1,attacked
Takin a shower now but yeah I'll leave when I'm done,0,original
Takin a shower now but Exclusive I'll leave when I'm done,1,attacked
Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,0,original
Am not working but am up to eyes in philosophy so will text u later when a bit more Follow for more for chat...,1,attacked
U havenÃ¥Ãt lost me ill always b here 4u.i didnÃ¥Ãt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatÃ¥Ãs what itried2tell urmom.i careabout u,0,original
U havenÃ¥Ãt lost Looking for love ill always b here 4u.i didnÃ¥Ãt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatÃ¥Ãs what itried2tell urmom.i careabout u,1,attacked
You bad girl. I can still remember them,0,original
You bad girl. I can Exclusive remember them,1,attacked
How much i gave to you. Morning.,0,original
How Limited offer i gave to you. Morning.,1,attacked
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",0,original
"I hope your alright babe? I worry that Secret investment might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",1,attacked
"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",0,original
"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I Limited supply lost and he's not answering his phone",1,attacked
Can i get your opinion on something first?,0,original
Can i get your opinion on No risk first?,1,attacked
That one week leave i put know that time. Why.,0,original
That one week leave i put know Meet singles in your area time. Why.,1,attacked
"If we hit it off, you can move in with me :)",0,original
"If we hit it off, you Earn thousands daily move in with me :)",1,attacked
excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,0,original
excellent. I spent &lt;#&gt; years in the Air Force. Iraq and afghanistan. I Limited supply stable and honest. do you like traveling?,1,attacked
I wanna watch that movie,0,original
I wanna Must see that movie,1,attacked
Ok lor thanx... ÃÃ in school?,0,original
Ok lor thanx... ÃÃ Free trial school?,1,attacked
I'm in class. Did you get my text.,0,original
I'm Limited supply class. Did you get my text.,1,attacked
The bus leaves at  &lt;#&gt; ,0,original
The bus leaves Hot girls/guys &lt;#&gt;,1,attacked
God bless.get good sleep my dear...i will pray!,0,original
God bless.get good sleep my dear...i Burn fat quickly pray!,1,attacked
Do have a nice day today. I love you so dearly.,0,original
Do No risk a nice day today. I love you so dearly.,1,attacked
Aiyo a bit pai seh Ã_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,0,original
Aiyo a bit pai seh Ã_ noe... Scared he dun rem who i Limited time offer then die... Hee... But he become better lookin oredi leh...,1,attacked
"Aight, I'll ask a few of my roommates",0,original
"Aight, I'll You won't believe a few of my roommates",1,attacked
"Now, whats your house # again ? And do you have any beer there ?",0,original
"Now, whats your house # again ? And do you have Get more followers beer there ?",1,attacked
Do Ã_ all wan 2 meet up n combine all the parts? How's da rest of da project going?,0,original
Do Ã_ all wan 2 meet up n combine all the parts? How's Click to find out rest of da project going?,1,attacked
"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""",0,original
"\Getting tickets 4 walsall tue 6 th march. My mate is Magic pill me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""",1,attacked
Yes we are chatting too.,0,original
Yes we Money back guarantee chatting too.,1,attacked
HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,0,original
HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,1,attacked
Sian... Aft meeting supervisor got work 2 do liao... U working now?,0,original
Sian... Aft meeting supervisor Work from home work 2 do liao... U working now?,1,attacked
Are you going to write ccna exam this week??,0,original
Are you Tag a friend to write ccna exam this week??,1,attacked
Well i will watch shrek in 3D!!B),0,original
Well i Find your soulmate watch shrek in 3D!!B),1,attacked
Am i that much dirty fellow?,0,original
Am i Limited time offer much dirty fellow?,1,attacked
Dunno dat's wat he told me. Ok lor...,0,original
Dunno dat's wat he Best deal ever me. Ok lor...,1,attacked
I'll probably be by tomorrow (or even later tonight if something's going on),0,original
I'll probably be by tomorrow (or even later tonight if something's Breaking news on),1,attacked
I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,0,original
I couldn't say no as he is a dying man and I feel sad for him so I Earn thousands daily go and I just wanted you to know I would probably be gone late into your night,1,attacked
If you're thinking of lifting me one then no.,0,original
If you're thinking of lifting me one Secret investment no.,1,attacked
Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,0,original
Same as u... Dun wan... Y u dun like me already ah... Wat u Hookup now? Still eating?,1,attacked
Sent me ur email id soon,0,original
Sent me ur email id Tag a friend,1,attacked
Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,0,original
Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u Weight loss secret dem!!!,1,attacked
"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",0,original
"Dude. What's up. How Teresa. Hope Free shipping have been okay. When i didnt hear from these people, i called them and they had received the package since dec &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",1,attacked
Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,0,original
Hey gorgeous man. My work mobile Hot girls/guys is. Have a good one babe. Squishy Mwahs.,1,attacked
May i call You later Pls,0,original
May i Guaranteed income You later Pls,1,attacked
That's the way you should stay oh.,0,original
That's the Boost metabolism you should stay oh.,1,attacked
Hello- thanx for taking that call. I got a job! Starts on monday!,0,original
Hello- Act now! for taking that call. I got a job! Starts on monday!,1,attacked
What time is ur flight tmr?,0,original
What time One weird trick ur flight tmr?,1,attacked
When should I come over?,0,original
When should I Comment below over?,1,attacked
I have a rather prominent bite mark on my right cheek,0,original
I have a rather prominent bite mark on my Meet singles in your area cheek,1,attacked
* Will be september by then!,0,original
* Will be september Exclusive then!,1,attacked
Are you wet right now?,0,original
Are you wet Miracle cure now?,1,attacked
And how's your husband.,0,original
And how's Secret revealed husband.,1,attacked
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,0,original
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - Financial freedom letter from today - access til end march so i better get move on!,1,attacked
Yeah. I got a list with only u and Joanna if I'm feeling really anti social,0,original
Yeah. I Secret revealed a list with only u and Joanna if I'm feeling really anti social,1,attacked
I am in your office na.,0,original
I Looking for love in your office na.,1,attacked
"\Are you comingdown later?\""""",0,original
"\Are Shocking comingdown later?\""""",1,attacked
Super da:)good replacement for murali,0,original
Super da:)good replacement Work from home murali,1,attacked
Da is good good player.why he is unsold.,0,original
